"","order","geometry"
"23773","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23862","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23884","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23885","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23903","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23904","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23905","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23906","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23907","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23908","Coleoptera",c(5993687.23620948, 1978110.85258929)
"23909","Coleoptera",c(5993687.23620948, 1978110.85258929)
"23910","Coleoptera",c(5993687.23620948, 1978110.85258929)
"23937","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23938","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24162","Coleoptera",c(5993712.61901559, 1977855.58799892)
"24268","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24290","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24305","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24306","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24307","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24308","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24309","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24310","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24311","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24312","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24313","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24341","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24342","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24378","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24486","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24505","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24563","Coleoptera",c(5993712.61901559, 1977855.58799892)
"24591","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24684","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24721","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24722","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24723","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24724","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24725","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24726","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24727","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24728","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24749","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24750","Coleoptera",c(5994723.61358023, 1977072.2951303)
"24890","Coleoptera",c(5993687.23620948, 1978110.85258929)
"24906","Coleoptera",c(5994302.78840082, 1977152.96577913)
"24989","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25069","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25093","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25105","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25106","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25107","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25108","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25109","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25110","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25111","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25112","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25139","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25140","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25141","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25277","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25278","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25294","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25378","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25471","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25472","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25502","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25503","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25504","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25505","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25506","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25507","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25508","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25509","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25510","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25511","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25536","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25537","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25538","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25576","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25676","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25762","Coleoptera",c(5993712.61901559, 1977855.58799892)
"25792","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25873","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25898","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25914","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25915","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25916","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25917","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25918","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25919","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25920","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25921","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25922","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25923","Coleoptera",c(5993687.23620948, 1978110.85258929)
"25945","Coleoptera",c(5994723.61358023, 1977072.2951303)
"25946","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26084","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26162","Coleoptera",c(5993712.61901559, 1977855.58799892)
"26272","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26293","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26294","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26311","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26312","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26313","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26314","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26315","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26316","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26317","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26318","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26319","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26320","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26343","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26344","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26476","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26574","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26663","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26685","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26686","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26702","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26703","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26704","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26705","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26706","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26707","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26708","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26709","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26710","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26711","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26738","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26739","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26740","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26777","Coleoptera",c(5994723.61358023, 1977072.2951303)
"26874","Coleoptera",c(5993687.23620948, 1978110.85258929)
"26944","Coleoptera",c(5993712.61901559, 1977855.58799892)
"26967","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27054","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27076","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27077","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27094","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27095","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27096","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27097","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27098","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27099","Coleoptera",c(5993687.23620948, 1978110.85258929)
"27100","Coleoptera",c(5993687.23620948, 1978110.85258929)
"27101","Coleoptera",c(5993687.23620948, 1978110.85258929)
"27123","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27124","Coleoptera",c(5994723.61358023, 1977072.2951303)
"27261","Coleoptera",c(5993687.23620948, 1978110.85258929)
"27279","Coleoptera",c(5993687.23620948, 1978110.85258929)
"27281","Coleoptera",c(5993687.23620948, 1978110.85258929)
"27384","Hymenoptera",c(5995099.13682924, 1977472.93579782)
"27568","Odonata",c(5996669.36288598, 1979531.80077575)
"27587","Lepidoptera",c(5994303.52509747, 1978110.9581044)
"28203","Decapoda",c(5994036.31832671, 1977840.42485135)
"28239","Hymenoptera",c(5995102.27120613, 1976091.19450864)
"28464","Decapoda",c(5995650.28902042, 1976084.23262727)
"28996","Decapoda",c(5995069.05392426, 1975831.20296646)
"29000","Decapoda",c(5995104.00729085, 1975796.69916794)
"29017","Odonata",c(5995759.50530506, 1978556.91895277)
"29029","Decapoda",c(5995126.60502027, 1975795.18486908)
"29031","Hymenoptera",c(5994424.90681691, 1978729.64321357)
"29241","Coleoptera",c(5993687.23620948, 1978110.85258929)
"29257","Coleoptera",c(5994723.61358023, 1977072.2951303)
"29475","Decapoda",c(5995670.30299399, 1976122.07721256)
"29559","Hymenoptera",c(5995144.68984613, 1976649.84484117)
"29720","Hymenoptera",c(5995400.97049429, 1976400.09512269)
"30223","Araneae",c(5994491.12648413, 1979544.09248941)
"30316","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30320","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30322","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30324","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30325","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30327","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30328","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30329","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30332","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30336","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30338","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30341","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30344","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30346","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30349","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30351","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30353","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30355","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30356","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30370","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30372","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30375","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30381","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30384","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30390","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30392","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30396","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30400","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30402","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30403","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30404","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30406","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30407","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30408","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30413","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30414","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30417","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30424","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30427","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30431","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30434","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30436","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30437","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30439","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30440","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30442","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30444","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30445","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30447","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30453","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30454","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30458","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30460","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30468","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30472","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30473","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30476","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30485","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30491","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30492","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30632","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30635","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30637","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30648","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30659","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30660","Hymenoptera",c(5994036.56144064, 1977434.5779758)
"30671","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30677","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30678","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30679","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30683","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30685","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30689","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30691","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30700","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30709","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30722","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30726","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30729","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30732","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30735","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30737","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30738","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30742","Hymenoptera",c(5995076.26225593, 1976410.53046803)
"30744","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30746","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30748","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30751","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30752","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30753","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30765","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30768","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30771","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30774","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"30775","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30777","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30779","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"30780","Hymenoptera",c(5993982.09293703, 1977908.77743342)
"30810","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30823","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30829","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30833","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30838","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30843","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30844","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30871","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30875","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30879","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30881","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30888","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30895","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30897","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"30908","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"31543","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31549","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31557","Hymenoptera",c(5993910.66931083, 1978137.96928453)
"31569","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31576","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31586","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31587","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31588","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31589","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31590","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31591","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31592","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31593","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31594","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31595","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31596","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31597","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31598","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31599","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31600","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31601","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31602","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31603","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31604","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31605","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31606","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31607","Hymenoptera",c(5994977.3341645, 1976121.19266513)
"31608","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31609","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31610","Hymenoptera",c(5994977.3341645, 1976121.19266513)
"31611","Hymenoptera",c(5993910.66931083, 1978137.96928453)
"31612","Hymenoptera",c(5994977.3341645, 1976121.19266513)
"31613","Hymenoptera",c(5996880.33060482, 1979489.65061059)
"31614","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31615","Hymenoptera",c(5995088.25837425, 1978440.24444047)
"31616","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31617","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31618","Hymenoptera",c(5995088.25837425, 1978440.24444047)
"31619","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31620","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31621","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31622","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31623","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31624","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31625","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31626","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31627","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31628","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31633","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31634","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31635","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31636","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31637","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31638","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31639","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31640","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31641","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31642","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31643","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31644","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31645","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31646","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31648","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31650","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31651","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31652","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31653","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31654","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31655","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31656","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31657","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31658","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31659","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31660","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31661","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31664","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31665","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31666","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31678","Hymenoptera",c(5996880.33060482, 1979489.65061059)
"31689","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31712","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"31735","Hymenoptera",c(5995350.4655805, 1977152.3011915)
"31736","Hymenoptera",c(5995796.36181333, 1979513.14438346)
"31737","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31738","Hymenoptera",c(5993910.66931083, 1978137.96928453)
"31739","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31740","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31741","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31744","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31746","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31748","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31749","Hymenoptera",c(5993910.66931083, 1978137.96928453)
"31750","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31751","Hymenoptera",c(5993910.66931083, 1978137.96928453)
"31752","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31754","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31755","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31756","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31757","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31761","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31763","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31764","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31767","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"31769","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31773","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31774","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31775","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31776","Hymenoptera",c(5994977.3341645, 1976121.19266513)
"31778","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31779","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31782","Hymenoptera",c(5995796.36181333, 1979513.14438346)
"31789","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31792","Hymenoptera",c(5995099.12322727, 1977472.20808426)
"31796","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31797","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31799","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31801","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31802","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31803","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31805","Hymenoptera",c(5994476.62349319, 1979446.08815731)
"31806","Hymenoptera",c(5994046.747402, 1977608.00766389)
"31807","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31810","Hymenoptera",c(5995030.12287891, 1977799.26348703)
"31812","Hymenoptera",c(5995350.4655805, 1977152.3011915)
"32003","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32041","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32042","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32047","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32056","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32058","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32060","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32065","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32067","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32092","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32107","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32119","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32131","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32159","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32183","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"32388","Pedunculata",c(5995018.35974953, 1975895.11975181)
"32463","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32464","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32470","Hymenoptera",c(5994633.00685447, 1978679.15949678)
"32476","Hymenoptera",c(5995043.01489767, 1977843.42852794)
"32477","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32491","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32492","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32493","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"32494","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32496","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"32497","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32499","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32503","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32505","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32508","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32513","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32525","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32533","Hymenoptera",c(5994607.95453089, 1977952.75200016)
"32535","Hymenoptera",c(5994344.38554373, 1977763.68044474)
"32540","Hymenoptera",c(5994824.37127749, 1979556.42159271)
"32542","Hymenoptera",c(5994827.05789758, 1979554.91541198)
