"","order","geometry"
"9997","Coleoptera",c(5994723.61358023, 1977072.2951303)
"9998","Coleoptera",c(5994723.61358023, 1977072.2951303)
"9999","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10000","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10001","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10002","Coleoptera",c(5993687.23620948, 1978110.85258929)
"10027","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10028","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10029","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10030","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10031","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10070","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10271","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10272","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10359","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10383","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10396","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10397","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10398","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10399","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10400","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10401","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10402","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10403","Coleoptera",c(5993687.23620948, 1978110.85258929)
"10428","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10429","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10430","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10431","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10474","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10669","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10670","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10785","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10799","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10800","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10801","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10802","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10803","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10804","Coleoptera",c(5993687.23620948, 1978110.85258929)
"10805","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10828","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10829","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10830","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10831","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10873","Coleoptera",c(5994723.61358023, 1977072.2951303)
"10979","Coleoptera",c(5993687.23620948, 1978110.85258929)
"10998","Coleoptera",c(5993687.23620948, 1978110.85258929)
"10999","Coleoptera",c(5993687.23620948, 1978110.85258929)
"11165","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11166","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11193","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11209","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11210","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11211","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11212","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11213","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11214","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11215","Coleoptera",c(5993687.23620948, 1978110.85258929)
"11216","Coleoptera",c(5993687.23620948, 1978110.85258929)
"11243","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11244","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11245","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11246","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11247","Coleoptera",c(5994723.61358023, 1977072.2951303)
